Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,
2023,3,8,2,3,2023-08-02,9E,20363,9E,N320PQ,5225,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,1800,1759,-1.00,0.00,0.00,-1,1800-1859,26.00,1825,1800,3.00,1804,1803,-1.00,0.00,0.00,-1,1800-1859,0.00,,0.00,64.00,64.00,35.00,1.00,147.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,3,4,2023-08-03,9E,20363,9E,N367CA,5225,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,1745,1840,55.00,55.00,1.00,3,1700-1759,32.00,1912,1843,4.00,1749,1847,58.00,58.00,1.00,3,1700-1759,0.00,,0.00,64.00,67.00,31.00,1.00,147.00,1,0.00,55.00,3.00,0.00,0.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,4,5,2023-08-04,9E,20363,9E,N184GJ,5225,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,1745,1812,27.00,27.00,1.00,1,1700-1759,13.00,1825,1755,4.00,1749,1759,10.00,10.00,0.00,0,1700-1759,0.00,,0.00,64.00,47.00,30.00,1.00,147.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,6,7,2023-08-06,9E,20363,9E,N390CA,5225,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,1745,1807,22.00,22.00,1.00,1,1700-1759,34.00,1841,1822,3.00,1749,1825,36.00,36.00,1.00,2,1700-1759,0.00,,0.00,64.00,78.00,41.00,1.00,147.00,1,22.00,0.00,14.00,0.00,0.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,7,1,2023-08-07,9E,20363,9E,N368CA,5225,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,1745,,,,,,1700-1759,,,,,1748,,,,,,1700-1759,1.00,B,0.00,63.00,,,1.00,147.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,8,2,2023-08-08,9E,20363,9E,N398CA,5225,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,1755,1837,42.00,42.00,1.00,2,1700-1759,14.00,1851,1824,3.00,1758,1827,29.00,29.00,1.00,1,1700-1759,0.00,,0.00,63.00,50.00,33.00,1.00,147.00,1,0.00,0.00,0.00,0.00,29.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,9,3,2023-08-09,9E,20363,9E,N340CA,5225,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,1800,1754,-6.00,0.00,0.00,-1,1800-1859,22.00,1816,1751,7.00,1803,1758,-5.00,0.00,0.00,-1,1800-1859,0.00,,0.00,63.00,64.00,35.00,1.00,147.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,10,4,2023-08-10,9E,20363,9E,N390CA,5225,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,1745,1744,-1.00,0.00,0.00,-1,1700-1759,29.00,1813,1744,4.00,1748,1748,0.00,0.00,0.00,0,1700-1759,0.00,,0.00,63.00,64.00,31.00,1.00,147.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,5,6,2023-08-05,9E,20363,9E,N311PQ,5225,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,13577,1357702,31135,MYR,"Myrtle Beach, SC",SC,45,South Carolina,37,1215,1227,12.00,12.00,0.00,0,1200-1259,19.00,1246,1410,2.00,1412,1412,0.00,0.00,0.00,0,1400-1459,0.00,,0.00,117.00,105.00,84.00,1.00,636.00,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,1,2,2023-08-01,9E,20363,9E,N390CA,5225,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1835,1833,-2.00,0.00,0.00,-1,1800-1859,9.00,1842,2013,10.00,2053,2023,-30.00,0.00,0.00,-2,2000-2059,0.00,,0.00,78.00,50.00,31.00,1.00,147.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,2,3,2023-08-02,9E,20363,9E,N320PQ,5225,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1849,1858,9.00,9.00,0.00,0,1800-1859,10.00,1908,2040,12.00,2103,2052,-11.00,0.00,0.00,-1,2100-2159,0.00,,0.00,74.00,54.00,32.00,1.00,147.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,3,4,2023-08-03,9E,20363,9E,N367CA,5225,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1835,1929,54.00,54.00,1.00,3,1800-1859,9.00,1938,2109,16.00,2053,2125,32.00,32.00,1.00,2,2000-2059,0.00,,0.00,78.00,56.00,31.00,1.00,147.00,1,0.00,0.00,0.00,0.00,32.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,4,5,2023-08-04,9E,20363,9E,N184GJ,5225,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1835,1847,12.00,12.00,0.00,0,1800-1859,12.00,1859,2035,13.00,2053,2048,-5.00,0.00,0.00,-1,2000-2059,0.00,,0.00,78.00,61.00,36.00,1.00,147.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,6,7,2023-08-06,9E,20363,9E,N390CA,5225,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1835,1910,35.00,35.00,1.00,2,1800-1859,72.00,2022,2157,35.00,2053,2232,99.00,99.00,1.00,6,2000-2059,0.00,,0.00,78.00,142.00,35.00,1.00,147.00,1,0.00,0.00,64.00,0.00,35.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,7,1,2023-08-07,9E,20363,9E,N368CA,5225,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1835,,,,,,1800-1859,,,,,2052,,,,,,2000-2059,1.00,B,0.00,77.00,,,1.00,147.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,8,2,2023-08-08,9E,20363,9E,N398CA,5225,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1845,1919,34.00,34.00,1.00,2,1800-1859,13.00,1932,2104,12.00,2058,2116,18.00,18.00,1.00,1,2000-2059,0.00,,0.00,73.00,57.00,32.00,1.00,147.00,1,0.00,0.00,0.00,0.00,18.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,9,3,2023-08-09,9E,20363,9E,N340CA,5225,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1849,1845,-4.00,0.00,0.00,-1,1800-1859,15.00,1900,2034,7.00,2102,2041,-21.00,0.00,0.00,-2,2100-2159,0.00,,0.00,73.00,56.00,34.00,1.00,147.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,10,4,2023-08-10,9E,20363,9E,N390CA,5225,13277,1327702,33277,MGM,"Montgomery, AL",AL,01,Alabama,51,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1835,1830,-5.00,0.00,0.00,-1,1800-1859,15.00,1845,2020,8.00,2052,2028,-24.00,0.00,0.00,-2,2000-2059,0.00,,0.00,77.00,58.00,35.00,1.00,147.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,5,6,2023-08-05,9E,20363,9E,N311PQ,5225,13577,1357702,31135,MYR,"Myrtle Beach, SC",SC,45,South Carolina,37,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,1500,1454,-6.00,0.00,0.00,-1,1500-1559,12.00,1506,1634,9.00,1654,1643,-11.00,0.00,0.00,-1,1600-1659,0.00,,0.00,114.00,109.00,88.00,1.00,636.00,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,1,2,2023-08-01,9E,20363,9E,N137EV,5227,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,1950,1940,-10.00,0.00,0.00,-1,1900-1959,12.00,1952,2038,5.00,2110,2043,-27.00,0.00,0.00,-2,2100-2159,0.00,,0.00,80.00,63.00,46.00,1.00,227.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,2,3,2023-08-02,9E,20363,9E,N905XJ,5227,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,1950,1945,-5.00,0.00,0.00,-1,1900-1959,28.00,2013,2059,5.00,2110,2104,-6.00,0.00,0.00,-1,2100-2159,0.00,,0.00,80.00,79.00,46.00,1.00,227.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,3,4,2023-08-03,9E,20363,9E,N297PQ,5227,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,1950,1945,-5.00,0.00,0.00,-1,1900-1959,15.00,2000,2039,3.00,2110,2042,-28.00,0.00,0.00,-2,2100-2159,0.00,,0.00,80.00,57.00,39.00,1.00,227.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,4,5,2023-08-04,9E,20363,9E,N295PQ,5227,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,1950,2129,99.00,99.00,1.00,6,1900-1959,20.00,2149,2235,5.00,2110,2240,90.00,90.00,1.00,6,2100-2159,0.00,,0.00,80.00,71.00,46.00,1.00,227.00,1,0.00,0.00,0.00,0.00,90.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,8,6,7,2023-08-06,9E,20363,9E,N600LR,5227,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,1950,1953,3.00,3.00,0.00,0,1900-1959,28.00,2021,2113,4.00,2110,2117,7.00,7.00,0.00,0,2100-2159,0.00,,0.00,80.00,84.00,52.00,1.00,227.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
